# mzp gxFS
1.000000000000000000e+00 1.328823747035582633e-08
1.109090909090909172e+01 9.818828362303199041e-09
2.118181818181818343e+01 6.688207667621267373e-09
3.127272727272727337e+01 5.015741158572950580e-09
4.136363636363636687e+01 4.043155240060679713e-09
5.145454545454546036e+01 3.394303371189348898e-09
6.154545454545454675e+01 2.991287641527491726e-09
7.163636363636364024e+01 2.718111467751443889e-09
8.172727272727273373e+01 2.530406569248041512e-09
9.181818181818182723e+01 2.397378705159014480e-09
1.019090909090909207e+02 2.309274857617654041e-09
1.120000000000000142e+02 2.257002289419210051e-09
1.220909090909090935e+02 2.228333407901168563e-09
1.321818181818181870e+02 2.222344282326254021e-09
1.422727272727272805e+02 2.234745157064946372e-09
1.523636363636363740e+02 2.261786361278921131e-09
1.624545454545454675e+02 2.311156306710124045e-09
1.725454545454545610e+02 2.371641356227234345e-09
1.826363636363636545e+02 2.448608677121013386e-09
1.927272727272727479e+02 2.538359853655922273e-09
2.028181818181818414e+02 2.643598308665840773e-09
2.129090909090909349e+02 2.452726432113158282e-09
2.230000000000000284e+02 2.187349821872362529e-09
2.330909090909091219e+02 2.162470476043239801e-09
2.431818181818181870e+02 2.203744036799160397e-09
2.532727272727272805e+02 2.275789322187308241e-09
2.633636363636363740e+02 2.376196894403919223e-09
2.734545454545454959e+02 2.495736232458741705e-09
2.835454545454545610e+02 2.639960014816215994e-09
2.936363636363636829e+02 2.865933058424659991e-09
3.037272727272727479e+02 2.984526575507081956e-09
3.138181818181818699e+02 3.196278465109381542e-09
3.239090909090909349e+02 3.421011758735528640e-09
3.340000000000000000e+02 3.697438987308597325e-09
3.440909090909091219e+02 4.000901609401935642e-09
3.541818181818181870e+02 4.318227499844939117e-09
3.642727272727273089e+02 4.663409833320878279e-09
3.743636363636363740e+02 5.038632266382807404e-09
3.844545454545454959e+02 5.457949142217475647e-09
3.945454545454545610e+02 5.910111555923613715e-09
4.046363636363636829e+02 6.428786710368133125e-09
4.147272727272727479e+02 7.007479944490409122e-09
4.248181818181818699e+02 7.634191587394232934e-09
4.349090909090909349e+02 8.337227849951786436e-09
4.450000000000000568e+02 9.464826563286514986e-09
4.550909090909091219e+02 9.967879784896778910e-09
4.651818181818182438e+02 1.100062215692873434e-08
4.752727272727273089e+02 1.203792567211824903e-08
4.853636363636363740e+02 1.315286611236457078e-08
4.954545454545454959e+02 1.445877050750761889e-08
5.055454545454545610e+02 1.590866650389609177e-08
5.156363636363636260e+02 1.749193598641747085e-08
5.257272727272727479e+02 1.943071996195846705e-08
5.358181818181818699e+02 2.147511247917193945e-08
5.459090909090909918e+02 2.337185565060468582e-08
5.560000000000000000e+02 2.578071530952245154e-08
5.660909090909091219e+02 2.862317880847667067e-08
5.761818181818182438e+02 3.143907927317969594e-08
5.862727272727273657e+02 3.479401293697260389e-08
5.963636363636363740e+02 3.845905784640004369e-08
6.064545454545454959e+02 4.243677832937249391e-08
6.165454545454546178e+02 4.710801519118805709e-08
6.266363636363637397e+02 5.206536665707193955e-08
6.367272727272727479e+02 5.806092621421566052e-08
6.468181818181818699e+02 6.410745794977043006e-08
6.569090909090909918e+02 7.097459487767982506e-08
6.670000000000000000e+02 7.878169943110908205e-08
6.770909090909091219e+02 8.744364726909835917e-08
6.871818181818182438e+02 9.762633155505644173e-08
6.972727272727273657e+02 1.088670428486899140e-07
7.073636363636363740e+02 1.196168373892609220e-07
7.174545454545454959e+02 1.350965476707437186e-07
7.275454545454546178e+02 1.481840325499193680e-07
7.376363636363637397e+02 1.644045403117883489e-07
7.477272727272727479e+02 1.826155642359550090e-07
7.578181818181818699e+02 2.038538594727249701e-07
7.679090909090909918e+02 2.271640344628878879e-07
7.780000000000001137e+02 2.523462731842483400e-07
7.880909090909091219e+02 2.805983427348522533e-07
7.981818181818182438e+02 3.133153126740966560e-07
8.082727272727273657e+02 3.497362554851628708e-07
8.183636363636363740e+02 3.895347944779119708e-07
8.284545454545454959e+02 4.337656029451351716e-07
8.385454545454546178e+02 4.815650171428610203e-07
8.486363636363637397e+02 5.454922600688937312e-07
8.587272727272727479e+02 6.009396213771493422e-07
8.688181818181818699e+02 6.690882573172437445e-07
8.789090909090909918e+02 7.524530845307833050e-07
8.890000000000001137e+02 8.366318925243110937e-07
8.990909090909091219e+02 9.334627369259692917e-07
9.091818181818182438e+02 1.044018501658360345e-06
9.192727272727273657e+02 1.225713016064882476e-06
9.293636363636364877e+02 1.299849688380349202e-06
9.394545454545454959e+02 1.459958680511463727e-06
