# mzp gxTP
1.000000000000000000e+00 1.055857170321798939e-05
1.083163152428002540e+00 9.158500146646806177e-06
1.173242414777768250e+00 1.421190552553017642e-05
1.270812952552929476e+00 9.281684404271724962e-06
1.376497763833568477e+00 7.848917597248377721e-06
1.490971657184064325e+00 6.548357719551670334e-06
1.614965560376294018e+00 9.420208116709231103e-06
1.749271187439842334e+00 1.033486429254736497e-05
1.894746093838814760e+00 6.067244425407166001e-06
2.052319152053094342e+00 5.674475657188407811e-06
2.222996482526194750e+00 4.820204590234039390e-06
2.407867877849434013e+00 5.152212826827573349e-06
2.608113761201517278e+00 4.104514522827343028e-06
2.825012723473889764e+00 4.170702510492075893e-06
3.059949687207195623e+00 3.269405950802535948e-06
3.314424749466426512e+00 2.680144613929120096e-06
3.590062760117446405e+00 3.508490214948423030e-06
3.888623696663188856e+00 2.505353131946766947e-06
4.212013901883931766e+00 2.331363321069544862e-06
4.562298256035171917e+00 2.402903166440342095e-06
4.941713361323833986e+00 1.888701347404289812e-06
5.352681822847104698e+00 1.859593340643582340e-06
5.797827717179138141e+00 1.983989385109002882e-06
6.279993347374203339e+00 1.945595364572116303e-06
6.802257391368725870e+00 1.762679596989440119e-06
7.367954559661629155e+00 1.502022331264026930e-06
7.980696887789364702e+00 1.605398557656268921e-06
8.644396799550278843e+00 1.339156729265648671e-06
9.363292088239415278e+00 1.236695932059497728e-06
1.014197297540158083e+01 1.241704850232042054e-06
1.098541141987558412e+01 1.135013313011249072e-06
1.189899286427101543e+01 1.180372674483395495e-06
1.288855062158209819e+01 1.162133430985168555e-06
1.396040312150075735e+01 9.806677149614075665e-07
1.512139425425048422e+01 9.108248191469807140e-07
1.637893706954063688e+01 9.931043393928098706e-07
1.774106110966350514e+01 8.513940134833028131e-07
1.921646367896096663e+01 8.814403048142414708e-07
2.081456537702156950e+01 8.184044728661771548e-07
2.254557025019343541e+01 8.886856539834406216e-07
2.442053094548651160e+01 7.879376931082899289e-07
2.645141928287875643e+01 7.929476031962254030e-07
2.865120269663780306e+01 8.314794474255170436e-07
3.103392703374388617e+01 8.829183854557955614e-07
3.361480623809065094e+01 8.696979029262653871e-07
3.641031949310675486e+01 8.103397435690589252e-07
3.943831644306425943e+01 8.861830778020954173e-07
4.271813116492260320e+01 8.781372312110356792e-07
4.627070561843046193e+01 8.855443766783598544e-07
5.011872336272722350e+01 8.298668704620369716e-07
53.16133987848218 9.282641379248366e-07
56.388668107561244 8.927045890504702e-07
59.811921562039394 1.0760576702967835e-06
63.44299450590934 1.0091912258923228e-06
67.29450328229188 9.22261835284595e-07
71.37983014954602 1.0467263578748587e-06
75.71316977858989 1.1233624824054096e-06
80.30957857298907 1.0518118754931149e-06
85.18502698317779 1.0843091980078084e-06
90.3564549965817 1.0427094023987473e-06
95.8418309964446 1.1062613708003298e-06
101.66021419386753 1.1109349093959673e-06
107.83182084998356 1.1847775658429828e-06
114.37809451836057 1.341970035642402e-06
121.32178055169156 1.2577900940074275e-06
128.68700513165152 1.3419422196099456e-06
136.49935909651325 1.3666577174885235e-06
144.78598685778394 1.3873644509125607e-06
153.57568071481035 1.25798301706068e-06
162.898980895052 1.3372051557665134e-06
172.78828166761605 1.3952709763154941e-06
183.27794389875305 1.5431840766286422e-06
194.4044144403925 1.4312105491793603e-06
206.2063527665372 1.7294570205518933e-06
218.72476529752458 1.1120427502081206e-06
232.0031478788695 1.0782279504862368e-06
246.0876369097366 9.797172472887016e-07
261.02716964614916 1.0000482145286315e-06
276.87365423591416 1.0013323911628672e-06
293.68215007605613 9.195786557561559e-07
311.51105911942494 9.669786181457468e-07
330.4223287951798 1.0485075519654202e-06
350.481667248204 1.0836088282603774e-06
371.75877164531573 9.96002980644229e-07
394.32757034153366 1.0627319735774497e-06
418.2664797478127 1.1356719584840604e-06
443.6586767927559 1.2338233813299976e-06
470.59238792498195 1.1189038981831336e-06
499.1611956602956 1.4480545123953021e-06
529.4643637387842 1.3046556524061494e-06
534.8653258486235 1.3589047756356962e-06
561.6071820216089 1.1982032807205185e-06
595.7013323258518 1.381365877127468e-06
631.8652764685269 1.6128535191262103e-06
670.2246678680484 1.33223284996362e-06
710.9127881332648 1.4745510823592212e-06
754.0710101570182 1.4004767467415876e-06
799.8492893232835 1.4724792349418322e-06
848.4066845345874 1.3735330588357476e-06
899.9119108700523 1.4319651777451275e-06
